,size,storage,entropy,codec,level,compress,decompress,dc_no_cache,ratio
0,small,ssd,low,bloscpack,1,0.012498593330383301,0.00023758411407470703,0.0008556365966796875,0.1468625
1,small,ssd,low,bloscpack,3,0.007899928092956542,0.00023534297943115235,0.0008387088775634766,0.0358625
2,small,ssd,low,bloscpack,7,0.007996821403503418,0.00023581981658935547,0.0008677244186401367,0.0358625
3,small,ssd,low,bloscpack,9,0.008064579963684083,0.0002351045608520508,0.0007488012313842773,0.0358625
4,small,ssd,low,npz,1,0.014560389518737792,0.0007525920867919922,0.0016454935073852539,0.185425
5,small,ssd,low,npy,0,0.007395100593566894,0.0003525733947753906,0.0012584924697875977,1.001
6,small,ssd,low,zfile,1,0.00892784595489502,0.0003791093826293945,0.001046609878540039,0.1855125
7,small,ssd,low,zfile,3,0.009800553321838379,0.0003777027130126953,0.0010330915451049806,0.1854875
8,small,ssd,low,zfile,7,0.02093358039855957,0.0003785133361816406,0.0012806892395019532,0.1859
9,small,ssd,medium,bloscpack,1,0.008577990531921386,0.00024158954620361327,0.0012007951736450195,0.88675
10,small,ssd,medium,bloscpack,3,0.008655214309692382,0.00024251937866210939,0.0009476184844970703,0.6572125
11,small,ssd,medium,bloscpack,7,0.008759093284606934,0.00035598278045654295,0.0010046958923339844,0.4771
12,small,ssd,medium,bloscpack,9,0.008966469764709472,0.00035736560821533205,0.0010367155075073243,0.4604625
13,small,ssd,medium,npz,1,0.009571266174316407,0.0007794857025146485,0.0021717309951782226,0.2748375
14,small,ssd,medium,npy,0,0.007848811149597169,0.0003546237945556641,0.0015340089797973634,1.001
15,small,ssd,medium,zfile,1,0.013308501243591309,0.00044548511505126953,0.0015647172927856444,0.346475
16,small,ssd,medium,zfile,3,0.012980365753173828,0.0004419565200805664,0.0015273809432983399,0.3389125
17,small,ssd,medium,zfile,7,0.012270617485046386,0.0003906726837158203,0.0015051841735839843,0.2768
18,small,ssd,high,bloscpack,1,0.008951497077941895,0.0001605987548828125,0.0011999368667602538,1.0098
19,small,ssd,high,bloscpack,3,0.009141898155212403,0.00016105175018310547,0.0011967182159423827,1.0098
20,small,ssd,high,bloscpack,7,0.00941452980041504,0.00028836727142333984,0.0012853384017944337,0.9753625
21,small,ssd,high,bloscpack,9,0.009133601188659668,0.0002891778945922852,0.001349639892578125,0.9774125
22,small,ssd,high,npz,1,0.012055373191833496,0.000989818572998047,0.002563285827636719,0.963025
23,small,ssd,high,npy,0,0.007673311233520508,0.00035691261291503906,0.0015462636947631836,1.001
24,small,ssd,high,zfile,1,0.011780762672424316,0.0006335020065307617,0.0018594980239868164,0.9671875
25,small,ssd,high,zfile,3,0.014279341697692871,0.0006331920623779297,0.0018829345703125,0.9670625
26,small,ssd,high,zfile,7,0.011549854278564453,0.0006230354309082031,0.0018077611923217774,0.9642
27,small,sd,low,bloscpack,1,0.027901434898376466,0.00023818016052246094,0.0016885995864868164,0.1468625
28,small,sd,low,bloscpack,3,0.027772855758666993,0.0002362966537475586,0.0012165069580078124,0.0358625
29,small,sd,low,bloscpack,7,0.027826476097106933,0.0002374887466430664,0.0005243301391601562,0.0358625
30,small,sd,low,bloscpack,9,0.028181743621826173,0.00023651123046875,0.0010983705520629882,0.0358625
31,small,sd,low,npz,1,0.0359846830368042,0.0007493019104003907,0.001297736167907715,0.185425
32,small,sd,low,npy,0,0.031786227226257326,0.00035669803619384763,0.004996037483215332,1.001
33,small,sd,low,zfile,1,0.03223903179168701,0.0003804683685302734,0.0022792816162109375,0.1855125
34,small,sd,low,zfile,3,0.03228635787963867,0.00037789344787597656,0.002570509910583496,0.1854875
35,small,sd,low,zfile,7,0.04264976978302002,0.00037915706634521483,0.0021349906921386717,0.1859
36,small,sd,medium,bloscpack,1,0.032237458229064944,0.00024249553680419922,0.0038109064102172852,0.8865
37,small,sd,medium,bloscpack,3,0.031722283363342284,0.00024230480194091796,0.0038748741149902343,0.657025
38,small,sd,medium,bloscpack,7,0.03022489547729492,0.000354313850402832,0.0022964000701904295,0.47265
39,small,sd,medium,bloscpack,9,0.031000041961669923,0.0003570079803466797,0.00239102840423584,0.4602
40,small,sd,medium,npz,1,0.031435465812683104,0.0007759332656860352,0.004102945327758789,0.277275
41,small,sd,medium,npy,0,0.0321997880935669,0.0003558158874511719,0.003798985481262207,1.001
42,small,sd,medium,zfile,1,0.036353254318237306,0.00044744014739990235,0.0035023927688598634,0.3477
43,small,sd,medium,zfile,3,0.032539963722229004,0.00044100284576416017,0.0022112846374511717,0.339125
44,small,sd,medium,zfile,7,0.03379900455474853,0.00039300918579101565,0.0034889936447143554,0.2761375
45,small,sd,high,bloscpack,1,0.03259656429290771,0.00016188621520996094,0.005309295654296875,1.0098
46,small,sd,high,bloscpack,3,0.03262166976928711,0.0001614093780517578,0.005374264717102051,1.0098
47,small,sd,high,bloscpack,7,0.03215610980987549,0.0002915143966674805,0.003855586051940918,0.9760125
48,small,sd,high,bloscpack,9,0.032163238525390624,0.0002915620803833008,0.003874516487121582,0.9755625
49,small,sd,high,npz,1,0.03589551448822022,0.0009918212890625,0.004742288589477539,0.963025
50,small,sd,high,npy,0,0.03179068565368652,0.0003560781478881836,0.004114317893981934,1.001
51,small,sd,high,zfile,1,0.03709480762481689,0.0006310462951660157,0.00606536865234375,0.9671625
52,small,sd,high,zfile,3,0.038636422157287596,0.0006356000900268555,0.004311394691467285,0.9669875
53,small,sd,high,zfile,7,0.03818895816802979,0.0006244421005249023,0.006076359748840332,0.96375
54,mid,ssd,low,bloscpack,1,0.0705456256866455,0.03000497817993164,0.04539084434509277,0.12682075
55,mid,ssd,low,bloscpack,3,0.06812214851379395,0.029958248138427734,0.043921375274658205,0.1140974125
56,mid,ssd,low,bloscpack,7,0.03414263725280762,0.03039259910583496,0.032081222534179686,0.0118825625
57,mid,ssd,low,bloscpack,9,0.03466377258300781,0.031108617782592773,0.032936477661132814,0.0083735375
58,mid,ssd,low,npz,1,5.584912443161011,0.3409611701965332,0.3690650463104248,0.1495014125
59,mid,ssd,low,npy,0,0.4287993907928467,0.03169560432434082,0.21130080223083497,1.000001
60,mid,ssd,low,zfile,1,0.8992454051971436,0.2626512050628662,0.29289908409118653,0.1490548
61,mid,ssd,low,zfile,3,1.3721378803253175,0.2627892017364502,0.2927107810974121,0.1490792
62,mid,ssd,low,zfile,7,8.873369550704956,0.2631189823150635,0.29305038452148435,0.1494205
63,mid,ssd,medium,bloscpack,1,0.40744519233703613,0.03981003761291504,0.2068706512451172,0.87965845
64,mid,ssd,medium,bloscpack,3,0.4091075897216797,0.04014148712158203,0.20538134574890138,0.8795006125
65,mid,ssd,medium,bloscpack,7,0.3366676330566406,0.10626010894775391,0.17602038383483887,0.43360525
66,mid,ssd,medium,bloscpack,9,0.34711580276489257,0.11558136940002442,0.1796248435974121,0.3887401625
67,mid,ssd,medium,npz,1,1.2348053455352783,0.31957321166992186,0.349226188659668,0.1498635625
68,mid,ssd,medium,npy,0,0.42911419868469236,0.0323981761932373,0.21076664924621583,1.000001
69,mid,ssd,medium,zfile,1,0.946446418762207,0.3058512210845947,0.3575581550598145,0.26819005
70,mid,ssd,medium,zfile,3,0.9787767887115478,0.30422444343566896,0.3558332443237305,0.2637133625
71,mid,ssd,medium,zfile,7,1.1305503368377685,0.24181814193725587,0.27183098793029786,0.1498094875
72,mid,ssd,high,bloscpack,1,0.46861996650695803,0.039616966247558595,0.23147220611572267,1.000025375
73,mid,ssd,high,bloscpack,3,0.4785374641418457,0.03914494514465332,0.23145837783813478,1.000025375
74,mid,ssd,high,bloscpack,7,0.5882560729980468,0.0673736572265625,0.260227632522583,0.9658398
75,mid,ssd,high,bloscpack,9,0.6141110420227051,0.07077884674072266,0.26213736534118653,0.9656986875
76,mid,ssd,high,npz,1,3.90169677734375,0.6136041641235351,0.7888633251190186,0.96067115
77,mid,ssd,high,npy,0,0.4297966480255127,0.03159322738647461,0.2106595516204834,1.000001
78,mid,ssd,high,zfile,1,3.4606607437133787,0.5476452350616455,0.721947431564331,0.9643214625
79,mid,ssd,high,zfile,3,3.6307448387145995,0.549752140045166,0.7237096786499023,0.9642426125
80,mid,ssd,high,zfile,7,3.7368003368377685,0.5403783798217774,0.712427806854248,0.9606896625
81,mid,sd,low,bloscpack,1,0.822234058380127,0.03006463050842285,0.5240891933441162,0.12682075
82,mid,sd,low,bloscpack,3,0.7143298149108886,0.029997968673706056,0.46828579902648926,0.1140974125
83,mid,sd,low,bloscpack,7,0.13334898948669432,0.030446195602416994,0.052835607528686525,0.0118825625
84,mid,sd,low,bloscpack,9,0.11270303726196289,0.03063936233520508,0.041213035583496094,0.0083735375
85,mid,sd,low,npz,1,6.4600951194763185,0.33689398765563966,0.9470892429351807,0.1495014125
86,mid,sd,low,npy,0,5.279520177841187,0.03139119148254395,4.0937424659729,1.000001
87,mid,sd,low,zfile,1,1.7466236114501954,0.2624660491943359,0.8733009815216064,0.1490548
88,mid,sd,low,zfile,3,2.2234334468841555,0.26275043487548827,0.8734863758087158,0.1490792
89,mid,sd,low,zfile,7,9.722908306121827,0.2624052047729492,0.8724943637847901,0.1494205
90,mid,sd,medium,bloscpack,1,4.746354579925537,0.04165363311767578,3.600424861907959,0.8796500625
91,mid,sd,medium,bloscpack,3,4.7563694477081295,0.04200954437255859,3.5986249446868896,0.879503675
92,mid,sd,medium,bloscpack,7,2.5790733337402343,0.10210742950439453,1.7761777877807616,0.4335520875
93,mid,sd,medium,bloscpack,9,2.3960959911346436,0.11382198333740234,1.5894437313079834,0.388647275
94,mid,sd,medium,npz,1,2.126174783706665,0.3153223991394043,0.9285059928894043,0.149879975
95,mid,sd,medium,npy,0,5.3615364074707035,0.03142194747924805,4.082835340499878,1.000001
96,mid,sd,medium,zfile,1,2.286966848373413,0.3048356056213379,1.39750075340271,0.2681879375
97,mid,sd,medium,zfile,3,2.293275547027588,0.30423798561096194,1.3827785968780517,0.2636628
98,mid,sd,medium,zfile,7,2.018436336517334,0.241400146484375,0.8567650318145752,0.14985555
99,mid,sd,high,bloscpack,1,5.336899185180664,0.03856525421142578,4.084527826309204,1.000025375
100,mid,sd,high,bloscpack,3,5.419557857513428,0.038286781311035155,4.085848188400268,1.000025375
101,mid,sd,high,bloscpack,7,5.325316619873047,0.06907181739807129,3.9466395378112793,0.9658724
102,mid,sd,high,bloscpack,9,5.348079776763916,0.07013311386108398,3.9562382221221926,0.9656428625
103,mid,sd,high,npz,1,8.64942479133606,0.6171289443969726,4.522391986846924,0.960672425
104,mid,sd,high,npy,0,5.344629001617432,0.031343603134155275,4.097221755981446,1.000001
105,mid,sd,high,zfile,1,8.231291770935059,0.547069787979126,4.46264066696167,0.9643168875
106,mid,sd,high,zfile,3,8.387879991531372,0.5481399536132813,4.465153074264526,0.9642449375
107,mid,sd,high,zfile,7,8.477526378631591,0.5402515888214111,4.441393280029297,0.9606726875
108,large,ssd,low,bloscpack,1,0.8179883162180582,0.4772939682006836,0.6247122287750244,0.060875708125
109,large,ssd,low,bloscpack,3,0.6838839054107666,0.47899333635965985,0.5879979133605957,0.042616500625
110,large,ssd,low,bloscpack,7,0.4460903803507487,0.4874564011891683,0.5131409962972006,0.012993349375
111,large,ssd,low,bloscpack,9,0.44211634000142414,0.49188073476155597,0.5209765434265137,0.009234625
112,large,ssd,low,npz,1,134.83307123184204,6.718967437744141,7.298317988713582,0.159559411875
113,large,ssd,low,npy,0,9.326085011164347,0.5421003500620524,4.2775514125823975,1.00000005
114,large,ssd,low,zfile,1,18.529236634572346,5.057965278625488,5.6299160321553545,0.159273688125
115,large,ssd,low,zfile,3,31.532846371332806,5.056922992070516,5.638482332229614,0.15926239375
116,large,ssd,low,zfile,7,193.75933106740317,5.062419017155965,5.646385908126831,0.15955269
117,large,ssd,medium,bloscpack,1,9.542814016342163,0.728044350941976,4.132582664489746,0.87962137
118,large,ssd,medium,bloscpack,3,9.206473668416342,0.7109953562418619,4.107264041900635,0.879473130625
119,large,ssd,medium,bloscpack,7,7.074016650517781,2.06864070892334,3.4777700901031494,0.433462346875
120,large,ssd,medium,bloscpack,9,7.165896097819011,2.277704397837321,3.6884063879648843,0.388609760625
121,large,ssd,medium,npz,1,26.825876315434773,6.437185684839885,6.981548070907593,0.149741366875
122,large,ssd,medium,npy,0,9.293412446975708,0.5410334269205729,4.279706239700317,1.00000005
123,large,ssd,medium,zfile,1,19.21206299463908,6.092825015385945,7.083576917648315,0.26810889
124,large,ssd,medium,zfile,3,19.69266637166341,6.065162340799968,7.0335648854573565,0.26359542875
125,large,ssd,medium,zfile,7,22.776464064915974,4.793939590454102,5.3399843374888105,0.14974556125
126,large,ssd,high,bloscpack,1,10.532439311345419,0.7036317189534506,4.621872266133626,1.000015765
127,large,ssd,high,bloscpack,3,10.61207135518392,0.6990496317545573,4.619806289672852,1.000015765
128,large,ssd,high,bloscpack,7,12.781314373016357,1.3635796705881755,5.31130329767863,0.965834815625
129,large,ssd,high,bloscpack,9,13.1819429397583,1.374597390492757,5.3415937423706055,0.96563534375
130,large,ssd,high,npz,1,80.63844037055969,12.5077543258667,16.084396680196125,0.960670135
131,large,ssd,high,npy,0,9.371713717778524,0.5409320195515951,4.272183895111084,1.00000005
132,large,ssd,high,zfile,1,70.46483874320984,10.7977876663208,14.420360326766968,0.96431538375
133,large,ssd,high,zfile,3,73.72133866945903,10.815864721934,14.417120615641275,0.964230905625
134,large,ssd,high,zfile,7,75.7961733341217,10.634379307428995,14.222853899002075,0.960669805
135,large,sd,low,bloscpack,1,6.824582020441691,0.47738107045491535,5.027618646621704,0.060875708125
136,large,sd,low,bloscpack,3,4.893031676610311,0.48353036244710285,3.5352190335591636,0.042616500625
137,large,sd,low,bloscpack,7,1.8116459051767986,0.4856470425923665,1.1126652558644612,0.012993349375
138,large,sd,low,bloscpack,9,1.3744640350341797,0.4915267626444499,0.8092596530914307,0.009234625
139,large,sd,low,npz,1,133.97360332806906,6.7133487065633135,19.695307970046997,0.159559411875
140,large,sd,low,npy,0,106.042782386144,0.541729211807251,82.42253565788269,1.00000005
141,large,sd,low,zfile,1,34.23716934521993,5.056256612141927,18.072380701700848,0.159273688125
142,large,sd,low,zfile,3,47.119012435277305,5.050107320149739,18.071962277094524,0.15926239375
143,large,sd,low,zfile,7,209.289391040802,5.056841452916463,18.100489060084026,0.15955269
144,large,sd,medium,bloscpack,1,94.21596360206604,0.7308878898620605,72.16178504625957,0.879623163125
145,large,sd,medium,bloscpack,3,94.10849833488464,0.7399129072825114,72.28085454305013,0.879474703125
146,large,sd,medium,bloscpack,7,49.34382700920105,2.0977633794148765,35.52167105674744,0.4334676
147,large,sd,medium,bloscpack,9,45.21719694137573,2.277754068374634,31.885098934173584,0.38859341625
148,large,sd,medium,npz,1,30.600282112757366,6.431850910186768,18.637643098831177,0.14975297
149,large,sd,medium,npy,0,105.92029333114624,0.5422449906667074,82.33245873451233,1.00000005
150,large,sd,medium,zfile,1,45.563646713892616,6.083850065867106,27.964965264002483,0.268117715625
151,large,sd,medium,zfile,3,45.59808603922526,6.061470588048299,27.575070937474568,0.263593955
152,large,sd,medium,zfile,7,37.745359897613525,4.786799669265747,16.948413372039795,0.14973980875
153,large,sd,high,bloscpack,1,106.95832689603169,0.6455903053283691,82.19836743672688,1.000015765
154,large,sd,high,bloscpack,3,107.21798499425252,0.6992112795511881,82.19623549779256,1.000015765
155,large,sd,high,bloscpack,7,106.26709198951721,1.3621466954549153,79.36103137334187,0.965821569375
156,large,sd,high,bloscpack,9,106.6944173971812,1.3628543217976887,79.41821527481079,0.965647025
157,large,sd,high,npz,1,106.84841267267863,12.488869031270346,90.99169198671977,0.960673629375
158,large,sd,high,npy,0,105.8906713326772,0.5420742829640707,82.19493834177653,1.00000005
159,large,sd,high,zfile,1,164.10523764292398,10.77155033747355,89.48217002550761,0.964313083125
160,large,sd,high,zfile,3,167.43467020988464,10.811544020970663,89.46438431739807,0.964228329375
161,large,sd,high,zfile,7,168.9224374294281,10.648168643315634,89.11450107892354,0.960676170625
